"Qty";"Value";"Device";"Package";"Parts";"Description";"MF";"MFN";"OC-DIGIKEY";"OC-MOUSER";"OC-NEWARK";"OC_NEWARK";"VALUE";
"3";"";"JP2E";"JP2";"JP2, JP3, JP4";"JUMPER";"";"";"";"";"";"";"";
"1";"";"PINHD-1X2";"1X02";"JP5";"PIN HEADER";"";"";"";"";"";"";"";
"1";"";"PINHD-2X7";"2X07";"JP1";"PIN HEADER";"";"";"";"";"";"";"";
"4";"0R";"R0603";"0603@1";"R16, R17, R18, R19";"";"";"";"";"";"";"";"";
"1";"0R@DNF";"R0402";"0402@1";"R4";"";"";"";"";"";"";"";"";
"6";"100nF";"C0603";"0603";"C1, C3, C4, C5, C11, C12";"Capacitor";"";"";"";"";"";"";"";
"4";"10k";"R0603";"0603@1";"R5, R6, R12, R13";"";"";"";"";"";"";"";"";
"1";"10uF";"C0603";"0603";"C2";"Capacitor";"";"";"";"";"";"";"";
"1";"12MHz";"Q_3.2X2.5";"3.2X.2.5";"Q1";"";"";"";"";"";"";"";"";
"4";"18pF";"C0603";"0603";"C6, C7, C8, C9";"Capacitor";"";"";"";"";"";"";"";
"1";"1k5";"R0603";"0603@1";"R9";"";"";"";"";"";"";"";"";
"1";"1uF";"C0603";"0603";"C10";"Capacitor";"";"";"";"";"";"";"";
"4";"33R";"R0603";"0603@1";"R7, R8, R10, R11";"";"";"";"";"";"";"";"";
"3";"470R";"R0603";"0603@1";"R1, R2, R3";"";"";"";"";"";"";"";"";
"1";"4P-SMD-2.0-90D";"GROVE-UART-I2C-SMD";"HW4-SMD-2.0-90D";"CON5";"320110032";"";"";"";"";"";"";"4P-SMD-2.0-90D";
"2";"4k7";"R0603";"0603@1";"R14, R15";"";"";"";"";"";"";"";"";
"2";"BAT60A";"BAT60A";"SOD323";"D1, D2";"SCHOTTKY DIODE";"Infineon";"BAT60AE6327HTSA1";"BAT60AE6327HTSA1CT-ND";"726-BAT60AE6327";"85X4127";"";"";
"1";"BAT60J";"BAT60A";"BAT60A";"D3";"Schottky Diode";"";"";"";"";"";"";"";
"1";"BLUE";"LED0603";"CHIPLED_0603";"LED2";"SMD LED";"";"";"";"";"";"";"";
"1";"BSS84";"BSS84";"SOT23";"T1";"P-CHANNEL MOS FET";"";"";"";"";"";"";"";
"1";"FC68148S";"FC68148S";"FC68148S";"CON1";"Power Jack";"Cliff";"FC68148S";"";"";"";"1889309";"";
"1";"GREEN";"LED0603";"CHIPLED_0603";"LED3";"SMD LED";"";"";"";"";"";"";"";
"2";"GROVE-A/D-SMD";"GROVE-A/D-SMD";"HW4-SMD-2.0-90D";"CON7, CON8";"";"";"";"";"";"";"";"";
"1";"GROVE-SPI-SMD";"GROVE-SPI-SMD";"HW4-SMD-2.0-90D";"CON6";"";"";"";"";"";"";"";"";
"1";"INA219AIDCNR";"INA219AIDCNR";"SOT23-8";"U2";"Current Sense - I2C";"Texas Instruments";"INA219AIDCNR";"296-23770-1-ND";"595-INA219AIDCNR";"2295989";"";"";
"1";"LD1117S33";"LD1117S33";"SOT223";"IC2";"VOLTAGE REGULATOR SMD 3,3V";"";"";"";"";"";"";"";
"1";"LPC11U35FHI33/501";"LPC11U35FHI33/501";"SOT617-3";"U1";"32 Bit Microcontroller, ARM Cortex-M0, 50 MHz, 64 KB, 12 KB, 33 Pins, HVQFN";"NXP";"LPC11U35FHI33/501";"568-9586-ND";"771-LPC11U35FHI33501";"2115658";"";"";
"1";"RED";"LED0603";"CHIPLED_0603";"LED1";"SMD LED";"";"";"";"";"";"";"";
"1";"SKRKAEE010";"SKRKAEE010";"SKRKAEE010";"SW1";"MOMENTARY SWITCH PUSH VERTICAL (SPST)";"ALPS";"SKRKAEE010";"";"688-SKRKAE";"";"";"";
"2";"SWD-10/TC2050_SMD";"SWD-10/TC2050_SMD";"FTSH-105-02";"CON3, CON4";"1mm pitch 10-Pin Cortex Programming Header with optional TC2050 footprint solderless interchangeable";"";"";"";"";"";"";"";
"3";"TEST-POINT-50R-PTH";"TEST-POINT-50R-PTH";"TP50-PTH";"TP1, TP3, TP4";"";"";"";"";"";"";"";"";
"1";"USBLC6-2SC6";"USBLC6-2SC6";"SOT23-6L";"IC1";"";"";"";"";"";"";"";"";
"1";"USB_MICROB";"USB_MICROB";"MOLEX-47364-0001";"CON2";"USB Connectors";"";"";"";"";"";"";"";
