"Qty";"Value";"Device";"Package";"Parts";"Description";"FLASH";"GPIO";"MF";"MFN";"OC-DIGIKEY";"OC-MOUSER";"OC-NEWARK";"SRAM";"TP_SIGNAL_NAME";
"1";"0R@DNF";"R0402";"0402@1";"R1";"";"";"";"";"";"";"";"";"";"";
"4";"100nF";"C0603";"0603";"C6, C12, C19, C20";"Capacitor";"";"";"";"";"";"";"";"";"";
"2";"10k";"R0603";"0603@1";"R15, R16";"";"";"";"";"";"";"";"";"";"";
"1";"10uF";"C0603";"0603";"C1";"Capacitor";"";"";"";"";"";"";"";"";"";
"1";"12MHz";"Q_3.2X2.5";"3.2X.2.5";"Q1";"";"";"";"";"";"";"";"";"";"";
"4";"18pF";"C0603";"0603";"C15, C16, C17, C18";"Capacitor";"";"";"";"";"";"";"";"";"";
"1";"1k5";"R0603";"0603@1";"R19";"";"";"";"";"";"";"";"";"";"";
"4";"33R";"R0603";"0603@1";"R17, R18, R20, R21";"";"";"";"";"";"";"";"";"";"";
"3";"470R";"R0603";"0603@1";"R11, R12, R13";"";"";"";"";"";"";"";"";"";"";
"1";"BAT60J";"BAT60A";"BAT60A";"D1";"Schottky Diode";"";"";"";"";"";"";"";"";"";
"1";"BLUE";"LED0603";"CHIPLED_0603";"LED6";"SMD LED";"";"";"";"";"";"";"";"";"";
"1";"BSS84";"BSS84";"SOT23";"T1";"P-CHANNEL MOS FET";"";"";"";"";"";"";"";"";"";
"1";"DAPULE";"DAPULE";"DAPULE";"MOD1";"";"";"";"";"";"";"";"";"";"";
"1";"FLOSSICORN0.5";"FLOSSICORN0.5";"FLOSSICORN-0.5";"SS1";"";"";"";"";"";"";"";"";"";"";
"1";"GREEN";"LED0603";"CHIPLED_0603";"LED4";"SMD LED";"";"";"";"";"";"";"";"";"";
"1";"LD1117S33";"LD1117S33";"SOT223";"IC2";"VOLTAGE REGULATOR SMD 3,3V";"";"";"";"";"";"";"";"";"";
"1";"LPC11U35FHI33/501";"LPC11U35FHI33/501";"SOT617-3";"IC3";"32-bit ARM Cortex-M0 microcontroller; up to 128  kB flash; up";"64kB";"26";"";"";"";"";"";"12kB";"";
"5";"PTR1TP07R";"PTR1TP07R";"TP07R";"TP8, TP9, TP11, TP12, TP13";"TEST PIN";"";"";"";"";"";"";"";"";"";
"1";"PTR1TP16R";"PTR1TP16R";"TP16R";"TP1";"TEST PIN";"";"";"";"";"";"";"";"";"";
"1";"RED";"LED0603";"CHIPLED_0603";"LED5";"SMD LED";"";"";"";"";"";"";"";"";"";
"1";"SKRKAEE010";"SKRKAEE010";"SKRKAEE010";"SW1";"MOMENTARY SWITCH PUSH VERTICAL (SPST)";"";"";"ALPS";"SKRKAEE010";"";"688-SKRKAE";"";"";"";
"1";"SWD-10/TC2050_SMD";"SWD-10/TC2050_SMD";"FTSH-105-02";"CON14";"1mm pitch 10-Pin Cortex Programming Header with optional TC2050 footprint solderless interchangeable";"";"";"";"";"";"";"";"";"";
"2";"TEST-POINT-50R-PTH";"TEST-POINT-50R-PTH";"TP50-PTH";"TP3, TP4";"";"";"";"";"";"";"";"";"";"";
"1";"USBLC6-2SC6";"USBLC6-2SC6";"SOT23-6L";"IC1";"";"";"";"";"";"";"";"";"";"";
"1";"USB_MICROB";"USB_MICROB";"MOLEX-47364-0001";"CON9";"USB Connectors";"";"";"";"";"";"";"";"";"";
