"Qty";"Value";"Device";"Package";"Parts";"Description";"MF";"MFN";"OC-DIGIKEY";"OC-MOUSER";"OC-NEWARK";"TP_SIGNAL_NAME";
"2";"1.5K";"R0603";"0603";"R11, R12";"Resistor";"";"";"";"";"";"";
"2";"100K";"R0603";"0603";"R4, R10";"Resistor";"";"";"";"";"";"";
"1";"100R";"R0603";"0603";"R6";"Resistor";"";"";"";"";"";"";
"1";"100k";"R0603";"0603";"R5";"Resistor";"";"";"";"";"";"";
"7";"100nF";"C0603";"0603";"C1, C2, C3, C4, C7, C9, C11";"Capacitor";"";"";"";"";"";"";
"1";"10K";"R0603";"0603";"R3";"Resistor";"";"";"";"";"";"";
"2";"10uF";"C0603";"0603";"C8, C10";"Capacitor";"";"";"";"";"";"";
"2";"18pF";"C0603";"0603";"C5, C6";"Capacitor";"";"";"";"";"";"";
"1";"1k5";"R0603";"0603";"R9";"Resistor";"";"";"";"";"";"";
"2";"33R";"R0603";"0603";"R7, R8";"Resistor";"";"";"";"";"";"";
"1";"470R";"R0603";"0603";"R13";"Resistor";"";"";"";"";"";"";
"1";"47346-0001";"47346-0001";"USB-MICRO-B-H";"CON1";"USB Receptacle Horizontal Micro Type B";"MOLEX";"47346-0001";"";"538-47346-0001";"1568026";"";
"2";"4k7";"R0603";"0603";"R1, R2";"Resistor";"";"";"";"";"";"";
"1";"BLUE";"SMD_LED0603";"CHIPLED_0603";"LED1";"LED SMD, Colour Red";"Wurth Electronics Inc";"150060RS75000";"732-4978-1-ND";"710-150060RS75000";"2322071";"";
"1";"CSTCE8M00G55-R0";"CSTCE8M00G55-R0";"CSTCE8M00G55-R0";"Y1";"Resonator Cermanic, Murata 8MHz 33pF";"Murata";"CSTCE8M00G55-R0";"490-1195-1-ND";"81-CSTCE8M00G55-R0";"2443270";"";
"1";"DAPULE";"DAPULE";"DAPULE";"MOD1";"";"";"";"";"";"";"";
"1";"GREEN";"SMD_LED0603";"CHIPLED_0603";"LED2";"LED SMD, Colour Red";"Wurth Electronics Inc";"150060RS75000";"732-4978-1-ND";"710-150060RS75000";"2322071";"";
"5";"PTR1TP07R";"PTR1TP07R";"TP07R";"TP1, TP2, TP3, TP4, TP5";"TEST PIN";"";"";"";"";"";"";
"1";"RED";"SMD_LED0603";"CHIPLED_0603";"LED3";"LED SMD, Colour Red";"Wurth Electronics Inc";"150060RS75000";"732-4978-1-ND";"710-150060RS75000";"2322071";"";
"1";"SKRKAEE010";"SKRKAEE010";"SKRKAEE010";"SW1";"MOMENTARY SWITCH PUSH VERTICAL (SPST)";"ALPS";"SKRKAEE010";"";"688-SKRKAE";"";"";
"1";"STM32F103CBT6";"STM32F103CBT6";"LQFP48";"U1";"ARM® Cortex®-M3 STM32 F1 Microcontroller IC 32-Bit 72MHz 128KB (128K x 8) FLASH";"STMicroelectronics";"STM32F103CBT6";"497-6288-ND";"511-STM32F103CBT6";"11N8296";"";
"2";"SWD-10-SMD";"SWD-10-SMD";"SWD-10-SMD";"CON3, CON4";"2.54mm pitch 10-Pin Cortex Programming Header";"";"";"";"";"";"";
"1";"TC2030-CTX-NL";"TC2030-CTX-NL";"TC2030-CTX-NL";"CON2";"Tag-Connect In Circuit Programming & Debug Cable 6 Pin";"";"";"";"";"";"";
"1";"TLV1117LV33DCYR";"TLV1117LV33DCYR";"SOT223";"U2";"LDO Fixed Regulator 3.3v, 1A";"Texas Instruments";"TLV1117LV33DCYR";"296-28778-1-ND";"595-TLV1117LV33DCYR";"2323647";"";
