"Qty";"Value";"Device";"Package";"Parts";"Description";"";
"1";"";"PINHD-2X2";"2X02";"JP1";"PIN HEADER";"";
"10";"100nF";"C0603";"0603";"C1, C2, C3, C4, C5, C6, C7, C8, C9, C10";"Capacitor";"";
"1";"24LC1025T-I/SN";"24LC1025T-I/SN";"SO8";"U8";"EEPROM IC 1MBIT 400KHZ 8SOIC";"";
"2";"2k2";"R0603";"0603";"R1, R2";"Resistor";"";
"1";"3030";"3030";"3030";"U$1";"CR927, CR1025 Battery Holder for 9-10mm Cells-Tin Nickel Plated SMD";"";
"6";"470R";"R0603";"0603";"R3, R4, R5, R6, R7, R9";"Resistor";"";
"1";"470R";"RESISTOR0603";"0603";"R8";"Resistor";"";
"1";"ABS07-32.768KHZ-T";"ABS07-32.768KHZ-T";"FC135";"Q1";"Crystal, Abracon 32.768kHz ±20ppm 12.5pF";"";
"1";"AT25DF641A-SH-B";"AT25DF641A-SH-B";"SO8-WIDE";"U6";"Serial Flash 64 Mb 100 Mhz";"";
"1";"AT45DB321E-SHF-B";"AT45DB321E-SHF-B";"SO8-WIDE";"U3";"Serial Flash 32 Mb 85 Mhz";"";
"1";"AT45DQ321-SHF-B";"AT45DQ321-SHF-B";"SO8-WIDE";"U4";"Serial Flash 32 Mb 104 Mhz";"";
"1";"ATECC608A";"ATECC608A";"SO8";"IC2";"";"";
"1";"DS1307";"DS1307";"SO08";"U9";"";"";
"1";"K64F/K22F-SHIELD";"K64F/K22F-SHIELD";"K64F/K22F";"BRD1";"Shield for K64F/K22F";"";
"1";"MT29F1G01ABBFDWB-IT:FTR";"MT29F1G01ABBFDWB-IT:FTR";"8-U-PDFN";"U7";"SPI FLASH NAND 1GB";"";
"1";"MX25R3235FM1IH0";"MX25R3235FM1IH0";"SO8";"U5";"Serial Flash 32 Mb 80 Mhz";"";
"7";"RED";"SMD_LED0603";"CHIPLED_0603";"LED1, LED2, LED3, LED4, LED5, LED6, LED7";"LED SMD, Colour Red";"";
"1";"S25FL116K0XNFA013";"S25FL116K0XNFA013";"SO8-WIDE@1";"U1";"Serial Flash 16Mb 108 Mhz";"";
"1";"SST25VF016B-50-4C-S2AF-T";"SST25VF016B-50-4C-S2AF-T";"SO8-WIDE";"U2";"Serial Flash 16Mb 50 Mhz";"";
