"Qty";"Value";"Device";"Package";"Parts";"Description";"MF";"MFN";"OC-DIGIKEY";"OC-MOUSER";"OC-NEWARK";"TP_SIGNAL_NAME";
"1";"";"C-POLB";"SMC_B";"C36";"Polarised capacitor";"Kemet";"T491B106K020AT";"399-8298-1-ND";"80-T491B106K020";" 57K1740";"";
"1";"";"C0402";"0402";"C22";"Capacitor";"";"";"";"";"";"";
"5";"0R";"L0402";"0402";"L6, L7, L8, L10, L11";"Inductor";"";"";"";"";"";"";
"1";"0R";"R0402";"0402";"R7";"Resistor";"";"";"";"";"";"";
"1";"1.8pF";"C0402";"0402";"C11";"Capacitor";"";"";"";"";"";"";
"12";"100R";"R0402";"0402";"R1, R4, R5, R6, R8, R9, R10, R11, R12, R13, R14, R15";"Resistor";"";"";"";"";"";"";
"7";"100nF";"C0402";"0402";"C4, C5, C30, C31, C33, C34, C35";"Capacitor";"";"";"";"";"";"";
"1";"101-00660-68-6";"101-00660-68-6";"AMPHENOL-101-00660-68-6";"CON1";"Micro SD PUSH-PUSH";"Amphenol ";"101-00660-68-6";"101-00660-68-6-1-ND";"523-101-00660-68-6";"47X3171";"";
"2";"10k";"R0402";"0402";"R2, R3";"Resistor";"";"";"";"";"";"";
"1";"10nF";"C0402";"0402";"C2";"Capacitor";"";"";"";"";"";"";
"1";"10nH";"L0402";"0402";"L4";"Inductor";"";"";"";"";"";"";
"1";"12nH";"L0402";"0402";"L9";"Inductor";"";"";"";"";"";"";
"1";"12pF";"C0402";"0402";"C10";"Capacitor";"";"";"";"";"";"";
"1";"15nH";"C0402";"0402";"C18";"Capacitor";"";"";"";"";"";"";
"2";"15pF";"C0402";"0402";"C28, C29";"Capacitor";"";"";"";"";"";"";
"1";"18nH";"L0402";"0402";"L12";"Inductor";"";"";"";"";"";"";
"1";"1uF";"C0402";"0402";"C39";"Capacitor";"";"";"";"";"";"";
"2";"1uF";"C0603";"0603";"C37, C38";"Capacitor";"";"";"";"";"";"";
"2";"2.2pF";"C0402";"0402";"C1, C27";"Capacitor";"";"";"";"";"";"";
"1";"2.7pF";"C0402";"0402";"C20";"Capacitor";"";"";"";"";"";"";
"1";"32MHz";"GENERIC-CRYSTAL_3.2X2.5";"3.2X.2.5";"Q1";"GENERIC Crystal";"";"";"";"";"";"";
"1";"33nH";"L0402";"0402";"L2";"Inductor";"";"";"";"";"";"";
"1";"33pF";"C0402";"0402";"C8";"Capacitor";"";"";"";"";"";"";
"2";"4.7pF";"C0402";"0402";"C9, C17";"Capacitor";"";"";"";"";"";"";
"5";"47pF";"C0402";"0402";"C3, C6, C14, C24, C32";"Capacitor";"";"";"";"";"";"";
"1";"6.2nH";"L0402";"0402";"L5";"Inductor";"";"";"";"";"";"";
"1";"6.8nH";"L0402";"0402";"L1";"Inductor";"";"";"";"";"";"";
"2";"6.8pF";"C0402";"0402";"C19, C21";"Capacitor";"";"";"";"";"";"";
"1";"82nH";"L0402";"0402";"L3";"Inductor";"";"";"";"";"";"";
"1";"ARDUINO-R3_APPS";"ARDUINO-R3_APPS";"ARDUINO-R3-APPS-SHEILD";"BRD2";"Shield for Arduino R3";"";"";"";"";"";"";
"1";"ARM-MBED-ENABLED-12MM";"ARM-MBED-ENABLED-12MM";"ARM-MBED-ENABLED-12MM";"SS1";"";"";"";"";"";"";"";
"1";"ATECC608A";"ATECC608A";"SO8";"U3";"";"";"";"";"";"";"";
"1";"DATA-SCIENCE-AFRICA";"DATA-SCIENCE-AFRICA";"DATA-SCIENCE-AFRICA";"SS2";"";"";"";"";"";"";"";
"8";"DNF";"C0402";"0402";"C7, C12, C13, C15, C16, C23, C25, C26";"Capacitor";"";"";"";"";"";"";
"1";"MX25R3235FM1IH0";"MX25R3235FM1IH0";"SO8";"U1";"Serial Flash 32 Mb 80 Mhz";"Macronix";"MX25R3235FM1IH0";"1092-1175-ND";"";"";"";
"1";"PTR1TP12R";"PTR1TP12R";"TP12R";"TP1";"TEST PIN";"";"";"";"";"";"";
"1";"SKRKAEE010";"SKRKAEE010";"SKRKAEE010";"SW1";"MOMENTARY SWITCH PUSH VERTICAL (SPST)";"ALPS";"SKRKAEE010";"";"688-SKRKAE";"";"";
"1";"SX1276IMLTRT";"SX1276IMLTRT";"QFN65P600X600X100-29N";"U2";"SX1272 Series 860-1020 MHz 300 kbps Low Power Long Range Transceiver - QFN-28EP";"Semtec";"SX1272IMLTRT";"SX1272IMLTRTCT-ND";"947-SX1272IMLTRT";"";"";
"2";"U.FL";"U.FL";"U.FL-R-SMT-1";"CON3, CON4";"";"";"";"";"";"";"";
"1";"X2B-PH-SM4-TB_SIDE";"X2B-PH-SM4-TB_SIDE";"S2B-PH-SM4-TB";"CON2";"";"";"";"";"";"";"";
